
2009-11-18 12:01:40 No database selected
2013-09-16 11:15:30 Unknown database 'im1'
2013-09-16 17:27:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:27:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:27:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:27:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:27:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:27:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:28:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:29:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:30:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:31:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:32:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:33:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:34:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:35:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:40 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:36:50 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:37:00 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:37:10 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:37:20 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:37:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:37:30 Table 'ben_speakserve.bmf_settings' doesn't exist
2013-09-16 17:38:10 Table 'ben_speakserve.bmf_settings' doesn't exist
